,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,Service Bar,Cocktail Bars,$$,4.4,304,N/A,38.91683,-77.02501,20001
1,The Hamilton,Seafood,$$,3.9,3686,N/A,38.8974544016632,-77.0320804809509,20005
2,Copycat Co,Cocktail Bars,$$,4.3,777,N/A,38.9004517,-76.9910202,20002
3,Aslin Beer Company,Breweries,$$,4.3,57,N/A,38.91392,-77.03255,20009
4,600 T,Cocktail Bars,$$,4.6,142,N/A,38.91542,-77.02039,20001
5,Crush Dance Bar,Dance Clubs,N/A,5.0,9,N/A,38.91731,-77.031596,20009
6,Across The Pond,American,$$,4.4,224,N/A,38.9136787,-77.0460517,20009
7,Gold Clover Bar,Dive Bars,N/A,5.0,12,N/A,38.91381952832294,-77.01563034206629,20001
8,SPIN Washington DC,American,$$,4.0,148,N/A,38.897517,-77.03065889999999,20045
9,Expat,Sports Bars,N/A,3.4,13,N/A,38.90028,-77.0456,20006
10,as you are.,Bars,$$,4.6,41,N/A,38.88257,-76.99471,20003
11,Round Robin Bar,Bars,$$$,3.8,201,N/A,38.8963597742277,-77.0323094509132,20004
12,The Royal,Coffee & Tea,$$,4.2,401,N/A,38.9150428771973,-77.0185775756836,20001
13,Cana - Caipirinha Bar,Brazilian,N/A,4.8,19,N/A,38.921096,-77.042414,20009
14,OKPB,Cocktail Bars,N/A,4.6,58,N/A,38.93075,-77.03782,20010
15,Ivy & Coney,Dive Bars,$,3.9,187,N/A,38.910656,-77.021568,20001
16,Smitty’s,Bars,N/A,4.9,33,N/A,38.9340137401,-77.0237642907,20011
17,Your Only Friend,Sandwiches,N/A,4.5,55,N/A,38.90481701104921,-77.02421626509336,20001
18,Dacha Beer Garden,Beer Gardens,$$,4.1,489,N/A,38.91134387229278,-77.02214215768534,20001
19,Federal City Bar,Bars,$$$,4.2,16,N/A,38.8968,-77.010871,20001
20,The Pub & The People,New American,$$,4.2,328,N/A,38.91233844891041,-77.0093277,20002
21,The Smith,New American,$$,3.9,1590,N/A,38.897666,-77.024307,20004
22,Colada Shop,Coffee & Tea,$$,4.0,603,N/A,38.91573411332448,-77.0323945288129,20009
23,Quill,New American,$$$,4.4,227,N/A,38.906037328402576,-77.03693768464976,20036
24,Yardbird,New American,$$$,3.8,735,N/A,38.902001750586145,-77.0258959538568,20001
25,All Souls Bar,Bars,$$,3.9,143,N/A,38.9157506,-77.0227059,20001
26,Miami Vice,Cocktail Bars,N/A,4.5,2,N/A,38.82676444993405,-77.05890224778197,22301
27,Murphy's Grill,Irish Pub,N/A,4.6,7,N/A,38.935492,-76.998456,20064
28,Red Bear Brewing,Breweries,$$,4.0,257,N/A,38.90544,-77.00247,20002
29,Snappy's Small Bar,Dive Bars,N/A,4.6,11,N/A,38.9391849,-77.0245134,20011
30,The Backroom,Cocktail Bars,N/A,4.2,13,N/A,38.91677,-77.02255,20001
31,Lapop,Coffee & Tea,$$,4.1,38,N/A,38.9213293230941,-77.0438345815766,20000
32,VUE Rooftop,New American,N/A,3.4,219,N/A,38.896978,-77.033238,20004
33,Tonic,New American,$$,3.1,954,N/A,38.89811,-77.046446,20052
34,Tequila & Mezcal,Cocktail Bars,N/A,4.3,135,N/A,38.93442,-77.03244,20010
35,Bluejacket,Breweries,$$,3.5,1363,N/A,38.874952961886,-77.00076755087,20003
36,Green Lantern,Gay Bars,$,3.7,104,N/A,38.9044761657715,-77.0308837890625,20005
37,Red Light,Bars,$$,3.8,302,N/A,38.9127595185657,-77.0321166428528,20009
38,Cynthia Bar & Bistro,New American,N/A,4.4,41,N/A,38.90034662327045,-76.9992372788827,20002
39,Astoria DC,Szechuan,$$,4.3,461,N/A,38.91052,-77.03813,20036
40,The Third Rail,Sports Bars,N/A,4.3,10,N/A,38.90067,-77.031553,20005
41,Reliable Tavern,Bars,$$,4.7,74,N/A,38.93605,-77.024,20010
42,Tiki Garden Thai Street Food,Thai,$$,4.8,92,N/A,38.90041,-76.9885,20002
43,Echo Park,Beer Gardens,N/A,4.0,12,N/A,38.91744,-77.02417,20001
44,Flash,Dance Clubs,$$,3.1,205,N/A,38.91625,-77.02144,20001
45,Medusa lounge Dc,Lounges,N/A,2.6,5,N/A,38.92501,-77.02291,20001
46,Boundary Stone,New American,$$,4.0,518,N/A,38.9153124721549,-77.0127552728748,20001
47,Queen's English,Hong Kong Style Cafe,N/A,4.0,226,N/A,38.93213,-77.02859,20010
48,Yard House,New American,$$,3.8,629,N/A,38.90069860000002,-77.02212887055224,20001
49,Garden District,Barbeque,$$,4.0,346,N/A,38.9141842,-77.0320102,20009
