,Median_Income,zip_code,name,cuisine,price_range,rating,review_count,latitude,longitude,price,cuisine_cat
3,133211,20001.0,Compass Coffee,Coffee & Tea,2,4.1,92.0,38.916256,-77.022773,20.5,cafes
5,133211,20001.0,Sankofa Video Books & Cafe,Bookstores,1,4.5,167.0,38.925561,-77.02315,5.0,cafes
6,133211,20001.0,La Colombe Coffee,Coffee & Tea,2,4.0,303.0,38.901050567627,-77.0201034545898,20.5,cafes
7,133211,20001.0,Sylvan Cafe & Bakery,Bakeries,1,4.0,134.0,38.915393041304895,-77.0125918,5.0,cafes
8,133211,20001.0,Urban Roast,Coffee & Tea,2,3.4,921.0,38.89800507172392,-77.02491600347251,20.5,cafes
10,133211,20001.0,Big Bear Cafe,Cafes,2,3.3,746.0,38.912676,-77.01225,20.5,cafes
11,133211,20001.0,La Colombe Coffee,Coffee & Tea,2,4.3,554.0,38.9064687179387,-77.0249282196164,20.5,cafes
12,133211,20001.0,A Baked Joint,Coffee & Tea,2,4.4,2544.0,38.902465,-77.017275,20.5,cafes
13,133211,20001.0,Tatte Bakery and Cafe,Coffee & Tea,2,4.2,335.0,38.9006499,-77.0267439,20.5,cafes
14,133211,20001.0,The Roasted Boon,Coffee & Tea,2,4.2,79.0,38.91045026300734,-77.02673465644715,20.5,cafes
15,133211,20001.0,Dolcezza,Coffee & Tea,2,4.2,566.0,38.900264,-77.024192,20.5,cafes
16,133211,20001.0,The Ministry,Coffee & Tea,2,4.3,111.0,38.8978502,-77.011664,20.5,cafes
18,133211,20001.0,Tatte Bakery & Cafe,Breakfast & Brunch,2,4.0,212.0,38.89933,-77.01466,20.5,breakfast
19,133211,20001.0,Compass Coffee,Coffee & Tea,1,4.2,420.0,38.9105988,-77.0215683,5.0,cafes
20,133211,20001.0,Cafe U,Coffee & Tea,1,4.7,44.0,38.91713797573817,-77.02654885449415,5.0,cafes
21,133211,20001.0,The Royal,Coffee & Tea,2,4.2,401.0,38.9150428771973,-77.0185775756836,20.5,cafes
22,133211,20001.0,Capital One Café,Coffee & Tea,2,3.8,75.0,38.89952,-77.02215,20.5,cafes
23,133211,20001.0,Corner Bakery,Bakeries,2,2.9,205.0,38.89656785943698,-77.00949737055227,20.5,cafes
27,133211,20001.0,Union Kitchen,Coffee & Tea,2,4.1,95.0,38.9067618304296,-77.0236993143936,20.5,cafes
29,133211,20001.0,The Dabney,New American,4,4.3,862.0,38.9063563388808,-77.0244961023773,61.0,american
32,133211,20001.0,Supra,Bars,3,4.1,763.0,38.906,-77.026725,45.5,bars
33,133211,20001.0,The Red Hen,Italian,3,4.2,1087.0,38.9149738,-77.01237122453689,45.5,european
35,133211,20001.0,The Royal,Coffee & Tea,2,4.2,401.0,38.9150428771973,-77.0185775756836,20.5,cafes
37,133211,20001.0,El Sol Restaurant & Tequileria,Mexican,2,4.1,732.0,38.9066,-77.02667,20.5,latin
38,133211,20001.0,District Rico,Peruvian,2,4.1,362.0,38.900365,-77.011819,20.5,latin
39,133211,20001.0,Convivial,French,2,4.1,849.0,38.9086949,-77.0231236,20.5,european
40,133211,20001.0,Present Company Public House,Pubs,2,4.6,110.0,38.9002246213413,-77.0172864220771,20.5,bars
41,133211,20001.0,Tiger Fork,Chinese,2,3.9,903.0,38.9070698055236,-77.0248598,20.5,asian
42,133211,20001.0,Nina May,New American,3,4.4,418.0,38.90844190192456,-77.02667000447393,45.5,american
43,133211,20001.0,Cracked Eggery,Breakfast & Brunch,2,4.4,132.0,38.91625,-77.02261,20.5,breakfast
